"z","Y","std"
0.1125,1,0.2065
0.2449,1,0.2049
-0.2127,0,0.2469
-0.2381,1,0.2156
-0.723,0,0.2309
-0.7388,0,0.2316
0.5156,1,0.2049
0.0472,1,0.2077
-0.5187,1,0.2289
-0.8395,0,0.2379
0.1726,1,0.2057
-1.409,0,0.3013
-0.8491,0,0.2387
-0.966,0,0.2493
0.407,1,0.2043
-1.2541,0,0.3261
-1.0226,0,0.2553
-1.3491,0,0.294
-0.2676,0,0.2425
-1.0265,0,0.2557
-0.7915,0,0.2346
-0.9482,0,0.2475
-0.3941,0,0.2339
-1.6224,0,0.3301
0.327,1,0.2044
-0.2596,0,0.2431
-0.7419,0,0.2318
-0.2912,0,0.2407
-0.2688,0,0.2167
0.4364,1,0.2044
-0.3793,0,0.2348
-1.0793,0,0.2616
-0.5168,1,0.229
-0.2414,0,0.2446
-0.8141,0,0.2361
-2.7586,0,0.4026
-0.5371,0,0.2285
-0.6644,1,0.2289
0.313,1,0.2044
-0.2977,1,0.2402
0.02,1,0.2082
0.2882,1,0.2046
-0.4881,1,0.2297
-0.4829,0,0.2299
-0.606,0,0.2281
0.0673,1,0.2073
-0.7546,1,0.2324
-0.3114,0,0.2392
0.2827,1,0.2046
0.5438,1,0.2052
0.6801,1,0.2076
-0.6435,1,0.2285
-0.9397,0,0.2467
-0.3628,0,0.2358
-0.0687,1,0.2103
-0.5707,0,0.2281
0.5541,1,0.2053
0.3896,1,0.2043
0.2142,1,0.2052
-0.4967,0,0.2295
0.2322,1,0.205
0.4774,1,0.2046
0.6706,1,0.2073
-0.1995,1,0.2142
-0.4,1,0.2336
0.0155,1,0.2083
-1.179,0,0.2734
-1.4141,0,0.3019
0.1783,1,0.2056
-0.369,1,0.2208
-0.8419,0,0.2381
0.3364,1,0.2044
-0.1109,1,0.2115
-1.232,0,0.2798
-0.5883,0,0.2325
-0.3662,1,0.2356
0.0816,0,0.207
-0.6284,0,0.2283
0.237,1,0.205
-0.2545,1,0.2435
-0.0717,1,0.2593
0.0696,1,0.2073
-0.4801,0,0.23
0.1704,1,0.2057
-0.6821,0,0.2294
0.5447,1,0.2052
0.4193,1,0.2043
0.3,1,0.2045
-1.0751,0,0.2611
-0.0875,1,0.2579
-0.8178,1,0.2363
-0.43,0,0.2321
0.13,1,0.2063
-1.2289,0,0.2794
0.1176,1,0.2064
0.3573,1,0.2043
0.6851,1,0.2077
-0.1028,1,0.2565
-0.7216,1,0.2309
-0.016,1,0.209
-0.2414,1,0.2157
-0.2799,0,0.2416
-1.0369,0,0.2568
-0.1992,1,0.2481
-0.7203,0,0.2308
0.0921,1,0.2069
0.4049,1,0.2043
-0.0802,1,0.2585
0.1879,1,0.2055
-0.2417,0,0.2446
-0.3165,1,0.2389
0.2821,1,0.2046
-0.9984,0,0.2527
-0.0149,1,0.2645
0.6151,1,0.2062
0.1912,1,0.2054
-0.9133,0,0.2442
-1.1824,0,0.2738
-0.4646,1,0.2306
-0.4051,1,0.2333
-0.2291,0,0.2456
-0.9125,0,0.2441
-0.6817,0,0.2294
-0.6094,0,0.2281
0.3573,1,0.2043
-0.3724,1,0.2352
0.3627,1,0.2043
0.2194,1,0.2051
-0.0406,1,0.2096
-1.1016,0,0.3259
-0.0529,1,0.2099
-0.9427,0,0.247
-1.0323,1,0.2563
0.498,1,0.2047
-0.2316,1,0.2454
-0.2136,1,0.2469
-0.5183,1,0.2289
-0.9155,1,0.2444
-0.5625,0,0.2282
-0.8712,0,0.2405
-0.0984,1,0.2111
-0.0473,1,0.2098
-0.1444,1,0.2528
-0.1974,1,0.2142
-1.5411,0,0.3288
0.2388,1,0.2049
-0.0928,1,0.2574
1.3534,1,0.2543
-0.5808,0,0.2281
-1.1231,0,0.2667
